,AF3/theta,AF3/alpha,AF3/betaL,AF3/betaH,AF3/gamma,F7/theta,F7/alpha,F7/betaL,F7/betaH,F7/gamma,F3/theta,F3/alpha,F3/betaL,F3/betaH,F3/gamma,FC5/theta,FC5/alpha,FC5/betaL,FC5/betaH,FC5/gamma,T7/theta,T7/alpha,T7/betaL,T7/betaH,T7/gamma,P7/theta,P7/alpha,P7/betaL,P7/betaH,P7/gamma,O1/theta,O1/alpha,O1/betaL,O1/betaH,O1/gamma,O2/theta,O2/alpha,O2/betaL,O2/betaH,O2/gamma,P8/theta,P8/alpha,P8/betaL,P8/betaH,P8/gamma,T8/theta,T8/alpha,T8/betaL,T8/betaH,T8/gamma,FC6/theta,FC6/alpha,FC6/betaL,FC6/betaH,FC6/gamma,F4/theta,F4/alpha,F4/betaL,F4/betaH,F4/gamma,F8/theta,F8/alpha,F8/betaL,F8/betaH,F8/gamma,AF4/theta,AF4/alpha,AF4/betaL,AF4/betaH,AF4/gamma,img,round
0,2.046,0.891,1.024,0.347,0.069,1.426,0.757,0.895,0.257,0.133,1.182,0.994,0.828,0.364,0.112,0.672,0.431,0.522,0.139,0.082,0.497,0.633,0.189,0.086,0.054,0.397,0.739,0.116,0.079,0.049,0.453,0.591,0.24,0.146,0.071,1.073,0.858,0.699,0.271,0.098,1.1,0.582,0.604,0.337,0.113,1.327,0.766,1.041,0.359,0.131,2.39,1.576,0.908,0.614,0.215,1.313,2.082,1.255,0.621,0.216,3.083,1.638,1.09,0.592,0.268,1.884,1.549,1.254,0.418,0.142,Car race 3,0
1,2.463,0.863,0.855,0.275,0.065,1.922,0.745,0.654,0.257,0.149,1.147,0.847,0.685,0.276,0.129,0.786,0.471,0.503,0.113,0.089,0.504,0.607,0.169,0.079,0.056,0.461,0.735,0.127,0.057,0.042,0.498,0.604,0.196,0.134,0.071,1.166,0.733,0.512,0.226,0.103,1.032,0.638,0.514,0.296,0.113,1.397,0.787,0.745,0.301,0.134,2.463,1.466,0.74,0.488,0.192,0.97,1.953,1.031,0.506,0.207,3.797,1.632,0.851,0.5,0.249,2.014,1.465,0.94,0.297,0.14,Car race 3,0
2,2.891,0.832,0.915,0.227,0.062,2.417,0.82,0.594,0.265,0.164,1.162,0.662,0.697,0.211,0.145,0.907,0.528,0.568,0.097,0.095,0.523,0.559,0.163,0.075,0.06,0.507,0.687,0.152,0.045,0.037,0.52,0.608,0.159,0.137,0.073,1.167,0.615,0.382,0.202,0.107,0.918,0.667,0.488,0.26,0.112,1.394,0.761,0.587,0.265,0.135,2.4,1.25,0.739,0.397,0.169,0.709,1.652,0.97,0.408,0.199,4.473,1.522,0.829,0.417,0.219,2.216,1.267,0.836,0.215,0.138,Car race 3,0
3,3.174,0.808,1.2,0.206,0.062,2.798,0.968,0.704,0.27,0.176,1.176,0.501,0.895,0.177,0.153,0.993,0.591,0.715,0.096,0.1,0.563,0.504,0.177,0.077,0.064,0.519,0.62,0.186,0.042,0.036,0.518,0.621,0.163,0.153,0.074,1.074,0.538,0.335,0.202,0.111,0.787,0.665,0.52,0.238,0.113,1.363,0.692,0.578,0.255,0.132,2.248,0.998,0.914,0.343,0.151,0.531,1.285,1.124,0.33,0.188,5.031,1.348,1.031,0.352,0.188,2.415,1.028,0.965,0.177,0.133,Car race 3,0
4,3.228,0.828,1.612,0.209,0.065,2.979,1.145,0.906,0.268,0.182,1.179,0.444,1.233,0.173,0.151,1.027,0.656,0.905,0.114,0.102,0.624,0.454,0.216,0.089,0.07,0.499,0.554,0.221,0.046,0.037,0.509,0.645,0.229,0.175,0.074,0.934,0.518,0.375,0.215,0.113,0.683,0.647,0.596,0.244,0.117,1.358,0.614,0.667,0.267,0.127,2.066,0.811,1.207,0.317,0.144,0.436,0.992,1.446,0.272,0.175,5.369,1.189,1.369,0.306,0.164,2.532,0.86,1.266,0.175,0.125,Car race 3,0
5,3.087,0.949,2.019,0.231,0.07,2.966,1.313,1.114,0.258,0.181,1.209,0.561,1.62,0.193,0.139,1.027,0.728,1.084,0.149,0.103,0.689,0.413,0.273,0.109,0.075,0.468,0.495,0.25,0.057,0.04,0.522,0.665,0.354,0.196,0.074,0.832,0.564,0.492,0.232,0.112,0.651,0.645,0.71,0.288,0.122,1.416,0.572,0.784,0.291,0.12,1.898,0.767,1.53,0.306,0.147,0.421,0.895,1.825,0.236,0.163,5.398,1.116,1.716,0.277,0.147,2.536,0.865,1.639,0.2,0.113,Car race 3,0
6,2.852,1.198,2.287,0.264,0.075,2.81,1.433,1.257,0.248,0.17,1.321,0.862,1.939,0.224,0.12,1.02,0.811,1.194,0.191,0.104,0.732,0.379,0.335,0.133,0.079,0.457,0.437,0.272,0.073,0.043,0.603,0.667,0.508,0.205,0.071,0.879,0.682,0.669,0.243,0.111,0.72,0.678,0.853,0.364,0.128,1.532,0.594,0.88,0.317,0.114,1.762,0.879,1.783,0.301,0.155,0.492,1.042,2.126,0.22,0.155,5.078,1.141,1.941,0.257,0.138,2.433,1.072,1.964,0.235,0.099,Car race 3,0
7,2.629,1.541,2.318,0.296,0.08,2.58,1.474,1.279,0.242,0.154,1.539,1.272,2.084,0.252,0.101,1.023,0.89,1.189,0.227,0.107,0.727,0.35,0.387,0.156,0.082,0.495,0.371,0.286,0.09,0.046,0.781,0.643,0.644,0.198,0.068,1.139,0.867,0.867,0.242,0.109,0.882,0.75,0.998,0.45,0.13,1.667,0.682,0.931,0.336,0.107,1.649,1.09,1.888,0.3,0.16,0.672,1.389,2.24,0.221,0.153,4.443,1.223,1.957,0.24,0.132,2.252,1.418,2.122,0.269,0.086,Car race 3,0
8,2.485,1.883,2.106,0.315,0.083,2.311,1.422,1.166,0.238,0.137,1.856,1.674,2.019,0.267,0.088,1.03,0.935,1.066,0.245,0.114,0.667,0.331,0.409,0.172,0.083,0.588,0.301,0.293,0.102,0.048,1.044,0.601,0.723,0.183,0.064,1.591,1.077,1.035,0.231,0.107,1.098,0.838,1.104,0.514,0.127,1.764,0.799,0.929,0.341,0.102,1.555,1.301,1.812,0.304,0.159,0.979,1.817,2.137,0.232,0.156,3.615,1.297,1.759,0.222,0.124,2.04,1.778,2.062,0.292,0.079,Car race 3,0
9,2.428,2.111,1.736,0.315,0.089,2.034,1.288,0.953,0.233,0.124,2.244,1.942,1.801,0.271,0.086,1.034,0.921,0.867,0.24,0.125,0.568,0.324,0.396,0.18,0.084,0.709,0.239,0.292,0.108,0.049,1.332,0.558,0.724,0.18,0.062,2.107,1.25,1.143,0.222,0.105,1.297,0.911,1.142,0.531,0.119,1.781,0.895,0.891,0.336,0.099,1.499,1.434,1.611,0.318,0.156,1.402,2.173,1.909,0.264,0.164,2.81,1.321,1.434,0.205,0.117,1.856,2.025,1.825,0.306,0.083,Car race 3,0
10,2.416,2.141,1.34,0.303,0.1,1.76,1.097,0.701,0.224,0.12,2.642,2.0,1.55,0.289,0.097,1.022,0.843,0.655,0.224,0.141,0.455,0.332,0.37,0.19,0.083,0.805,0.201,0.285,0.112,0.049,1.576,0.53,0.674,0.217,0.064,2.521,1.323,1.225,0.232,0.106,1.411,0.94,1.148,0.497,0.11,1.711,0.926,0.872,0.326,0.102,1.528,1.454,1.414,0.35,0.16,1.888,2.343,1.721,0.349,0.179,2.222,1.286,1.124,0.198,0.114,1.749,2.077,1.52,0.328,0.099,Car race 3,0
11,2.378,1.955,1.041,0.295,0.119,1.479,0.886,0.48,0.213,0.126,2.963,1.854,1.393,0.343,0.118,0.984,0.712,0.486,0.212,0.16,0.353,0.348,0.365,0.214,0.082,0.835,0.208,0.28,0.119,0.052,1.731,0.532,0.642,0.317,0.074,2.71,1.299,1.382,0.281,0.11,1.402,0.948,1.209,0.43,0.106,1.574,0.916,0.935,0.323,0.114,1.657,1.396,1.375,0.41,0.177,2.345,2.307,1.739,0.515,0.202,1.951,1.218,0.974,0.21,0.12,1.732,1.927,1.282,0.377,0.127,Car race 3,0
12,2.256,1.613,0.891,0.311,0.143,1.209,0.708,0.336,0.209,0.142,3.114,1.582,1.385,0.446,0.144,0.921,0.565,0.388,0.221,0.177,0.282,0.369,0.399,0.258,0.081,0.794,0.278,0.286,0.133,0.059,1.799,0.578,0.688,0.476,0.092,2.653,1.262,1.701,0.381,0.119,1.284,1.006,1.403,0.366,0.112,1.428,0.949,1.108,0.335,0.135,1.873,1.353,1.578,0.502,0.211,2.666,2.13,2.022,0.771,0.235,1.956,1.179,1.044,0.243,0.138,1.769,1.637,1.197,0.471,0.161,Car race 3,0
13,2.063,1.216,0.861,0.361,0.168,1.01,0.626,0.273,0.223,0.163,3.045,1.282,1.481,0.586,0.169,0.847,0.455,0.348,0.26,0.188,0.254,0.387,0.462,0.318,0.081,0.714,0.407,0.305,0.153,0.071,1.807,0.669,0.827,0.66,0.117,2.419,1.325,2.174,0.525,0.134,1.109,1.178,1.732,0.34,0.129,1.335,1.126,1.354,0.37,0.163,2.104,1.42,1.977,0.621,0.255,2.765,1.909,2.475,1.089,0.276,2.134,1.226,1.29,0.297,0.167,1.826,1.304,1.256,0.61,0.195,Car race 3,0
14,1.798,0.865,0.871,0.44,0.186,0.876,0.678,0.262,0.26,0.186,2.758,1.032,1.577,0.73,0.185,0.765,0.425,0.331,0.325,0.19,0.27,0.404,0.524,0.378,0.079,0.64,0.571,0.332,0.171,0.085,1.766,0.785,1.023,0.816,0.143,2.116,1.557,2.693,0.686,0.151,0.945,1.48,2.104,0.368,0.152,1.344,1.503,1.59,0.423,0.189,2.274,1.627,2.414,0.747,0.3,2.645,1.735,2.89,1.407,0.315,2.31,1.386,1.581,0.359,0.203,1.852,1.018,1.367,0.772,0.223,Car race 3,0
15,1.501,0.635,0.848,0.526,0.192,0.795,0.864,0.271,0.314,0.206,2.326,0.873,1.568,0.832,0.188,0.682,0.49,0.314,0.399,0.183,0.322,0.424,0.548,0.418,0.075,0.611,0.742,0.352,0.179,0.097,1.698,0.903,1.199,0.892,0.162,1.825,1.937,3.076,0.823,0.163,0.834,1.845,2.366,0.441,0.172,1.454,2.025,1.718,0.486,0.208,2.322,1.919,2.686,0.85,0.333,2.382,1.65,3.054,1.646,0.343,2.366,1.628,1.77,0.412,0.237,1.85,0.836,1.416,0.914,0.238,Car race 3,0
